# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
4.0,4.0,1.0,1015000.0,40.0,1992.0,3.0,6.0,4.683121400000001,-74.04957660000002,262.12,6.0,1100000000.0,9337000.0,2020,5
2.0,2.0,1.0,184000.0,0.0,2018.0,1.0,6.0,10.982594,-74.805565,80.76,14.0,320000000.0,,2020,5
4.0,5.0,1.0,1000000.0,0.0,2012.0,4.0,6.0,4.7451868,-74.07230629999998,274.56,5.0,1500000000.0,9982000.0,2020,5
3.0,2.0,1.0,203000.0,0.0,2014.0,1.0,4.0,4.768177099999999,-74.03102109999998,68.0,5.0,220000000.0,636000.0,2020,5
3.0,2.0,1.0,620000.0,0.0,1993.0,2.0,6.0,4.710989,-74.072092,100.0,3.0,470000000.0,2717000.0,2020,5
2.0,2.0,1.0,370000.0,4.61,2016.0,2.0,4.0,4.7214335382281485,-74.03579429666637,75.19,5.0,430000000.0,1743000.0,2020,5
3.0,3.0,1.0,290000.0,0.0,2014.0,1.0,5.0,11.0047181,-74.82570940000002,82.43,5.0,350000000.0,,2020,5
1.0,1.0,1.0,207000.0,0.0,2004.0,0.0,5.0,10.999686625481274,-74.79939337089581,64.0,1.0,180000000.0,,2020,5
3.0,3.0,1.0,673700.0,0.0,2003.0,3.0,5.0,4.653706400000001,-74.1068176,200.0,4.0,1400000000.0,9858000.0,2020,5
3.0,2.0,1.0,,0.0,2017.0,1.0,4.0,10.982594,-74.805565,83.0,,220000000.0,,2020,5
3.0,2.0,1.0,359000.0,0.0,2009.0,2.0,5.0,11.0050366,-74.83093620000002,105.0,3.0,290000000.0,,2020,5
3.0,2.0,1.0,360000.0,4.0,2003.0,2.0,5.0,4.704957774039375,-74.0686460852105,99.0,4.0,440000000.0,2110000.0,2020,5
3.0,3.0,1.0,570000.0,0.0,2006.0,2.0,6.0,4.688676108376758,-74.04304251479105,115.3,5.0,650000000.0,4269000.0,2020,5
2.0,2.0,1.0,374104.0,5.0,1988.0,1.0,6.0,4.696229368905363,-74.03725916637507,88.85,1.0,420000000.0,2028000.0,2020,5
3.0,2.0,1.0,220000.0,0.0,1996.0,1.0,3.0,4.7527487556706935,-74.05976023121337,69.65,5.0,255000000.0,873000.0,2020,5
2.0,2.0,1.0,499000.0,0.0,2011.0,1.0,6.0,4.702982,-74.04673590000004,61.0,3.0,385000000.0,1425000.0,2020,5
1.0,1.0,1.0,290000.0,0.0,2018.0,1.0,3.0,4.6212667000000005,-74.06719670000003,53.0,8.0,395000000.0,1150000.0,2020,5
2.0,2.0,1.0,280000.0,0.0,2018.0,2.0,6.0,11.007294615184925,-74.81322526931763,81.9,4.0,390000000.0,,2020,5
3.0,3.0,1.0,990000.0,0.0,1998.0,2.0,6.0,11.005420009980426,-74.80547904902778,270.0,9.0,780000000.0,3683700.0,2020,5
3.0,2.0,1.0,165000.0,0.0,2011.0,1.0,4.0,4.6584159000000005,-74.13080809999997,55.0,3.0,259000000.0,774000.0,2020,5
1.0,1.0,1.0,190000.0,0.0,2019.0,1.0,6.0,11.007294615184925,-74.81322526931763,49.0,10.0,233000000.0,,2020,5
2.0,2.0,1.0,400000.0,0.0,2011.0,2.0,4.0,4.7335912770192135,-74.04718670886506,73.0,3.0,345000000.0,1132000.0,2020,5
2.0,2.0,1.0,280000.0,0.0,2019.0,2.0,6.0,11.007294615184925,-74.81322526931763,72.3,7.0,347040000.0,,2020,5
1.0,1.0,1.0,230000.0,0.0,2019.0,1.0,6.0,11.007294615184925,-74.81322526931763,53.6,2.0,241200000.0,,2020,5
1.0,1.0,1.0,190000.0,0.0,2019.0,1.0,6.0,11.007294615184925,-74.81322526931763,49.0,4.0,223930000.0,,2020,5
4.0,4.0,2.0,1271000.0,0.0,2008.0,3.0,4.0,4.6488252,-74.0560537,193.6,6.0,1200000000.0,1200000.0,2020,5
3.0,2.0,1.0,197000.0,3.0,2012.0,1.0,4.0,4.7498719000000005,-74.06156870000002,72.0,2.0,285000000.0,1157000.0,2020,5
1.0,1.0,1.0,221000.0,0.0,2017.0,1.0,5.0,11.007823502069929,-74.80572792121825,43.0,2.0,190000000.0,700000.0,2020,5
3.0,2.0,1.0,509000.0,0.0,2011.0,2.0,5.0,4.749960970371856,-74.0724353227539,125.0,2.0,615000000.0,3425000.0,2020,5
2.0,1.0,1.0,233000.0,0.0,2017.0,1.0,5.0,11.007823502069929,-74.80572792121825,56.0,3.0,270000000.0,800000.0,2020,5
3.0,2.0,1.0,306000.0,0.0,2008.0,2.0,5.0,4.709791428851744,-74.07101911639404,106.67,11.0,560000000.0,3002000.0,2020,5
3.0,2.0,3.0,,0.0,2009.0,1.0,4.0,10.982594,-74.805565,106.0,,180000000.0,,2020,5
2.0,2.0,1.0,952000.0,0.0,2007.0,3.0,6.0,10.982594,-74.805565,264.0,,950000000.0,,2020,5
2.0,2.0,1.0,61000.0,0.0,2014.0,0.0,2.0,4.6521098,-74.17009439999998,48.48,12.0,125000000.0,73000.0,2020,5
3.0,3.0,1.0,1118000.0,109.0,1987.0,3.0,6.0,4.682190342817534,-74.0499708847683,252.18,2.0,1190000000.0,10542000.0,2020,5
4.0,4.0,3.0,640000.0,6.0,2001.0,2.0,6.0,4.695408456623786,-74.04417479901713,181.0,4.0,650000000.0,4193000.0,2020,5
3.0,2.0,1.0,350000.0,0.0,2015.0,2.0,5.0,4.723038,-74.0729063,122.1,4.0,542000000.0,2735000.0,2020,5
3.0,2.0,1.0,268800.0,0.0,2017.0,1.0,3.0,4.7208458,-74.05654770000002,84.0,3.0,350000000.0,1117000.0,2020,5
3.0,3.0,1.0,730000.0,0.0,1994.0,2.0,5.0,4.7064188,-74.03225529999997,121.0,2.0,580000000.0,2572000.0,2020,5
3.0,3.0,1.0,308000.0,4.0,1992.0,1.0,4.0,4.676094233143833,-74.06243700484436,90.0,5.0,395000000.0,1467000.0,2020,5
3.0,2.0,1.0,457000.0,0.0,1993.0,1.0,5.0,4.722093300000012,-74.0441059232788,105.35,3.0,365000000.0,2250000.0,2020,5
4.0,4.0,1.0,742500.0,47.0,2010.0,2.0,5.0,4.721133175735036,-74.0438150561463,169.15,5.0,780000000.0,3738000.0,2020,5
1.0,1.0,1.0,250206.0,20.0,2014.0,1.0,4.0,4.6378462700610985,-74.06102869374969,53.02,2.0,395000000.0,949000.0,2020,5
2.0,1.0,1.0,450000.0,0.0,1985.0,1.0,4.0,4.7164587,-74.0323444,77.52,2.0,290000000.0,1495000.0,2020,5
3.0,1.0,1.0,58000.0,0.0,1982.0,0.0,3.0,4.615536691404867,-74.16829574586474,61.64,4.0,160000000.0,251000.0,2020,5
2.0,1.0,1.0,,0.0,1996.0,0.0,2.0,4.569004791513361,-74.14407303438531,43.36,2.0,110000000.0,57000.0,2020,5
2.0,1.0,1.0,44500.0,0.0,2008.0,0.0,2.0,4.635125599999999,-74.18885219999999,38.43,4.0,130000000.0,62000.0,2020,5
3.0,2.0,1.0,107000.0,0.0,2013.0,1.0,3.0,4.5877412,-74.16169500000002,59.47,18.0,165000000.0,350000.0,2020,5
3.0,2.0,1.0,198000.0,0.0,2013.0,1.0,4.0,10.982594,-74.805565,68.27,6.0,225000000.0,,2020,5
1.0,2.0,2.0,296000.0,0.0,2015.0,1.0,5.0,4.7085136,-74.03173549999997,72.14,2.0,390000000.0,1507000.0,2020,5
3.0,2.0,1.0,180000.0,0.0,2017.0,1.0,4.0,10.982594,-74.805565,84.0,,295000000.0,,2020,5
3.0,2.0,1.0,67000.0,0.0,2012.0,0.0,3.0,4.605362599999999,-74.21536429999998,48.33,1.0,105000000.0,83000.0,2020,5
3.0,2.0,1.0,1200000.0,0.0,1992.0,3.0,6.0,4.687845591492441,-74.05336495826644,159.0,4.0,850000000.0,5620000.0,2020,5
2.0,1.0,1.0,395000.0,0.0,2016.0,1.0,6.0,10.982594,-74.805565,126.0,,485000000.0,,2020,5
3.0,2.0,1.0,308000.0,0.0,2016.0,1.0,4.0,11.026394,-74.86267299999997,99.0,12.0,289000000.0,,2020,5
3.0,2.0,1.0,390000.0,0.0,2016.0,2.0,5.0,10.9914881,-74.81548829999997,117.0,8.0,400000000.0,,2020,5
2.0,2.0,1.0,370000.0,0.0,1974.0,1.0,6.0,4.6803352,-74.04446730000002,95.1,4.0,410000000.0,2441000.0,2020,5
4.0,5.0,2.0,764000.0,20.0,2018.0,3.0,6.0,4.710989,-74.072092,275.0,6.0,1650000000.0,6200000.0,2020,5
3.0,2.0,1.0,433000.0,2.1,1993.0,3.0,5.0,4.7241655,-74.062184,116.6,2.0,440000000.0,2323000.0,2020,5
2.0,1.0,1.0,155000.0,0.0,1997.0,1.0,4.0,10.9915522,-74.80207300000002,75.0,4.0,150000000.0,,2020,5
1.0,1.0,1.0,,0.0,1984.0,1.0,6.0,4.6838802,-74.04639170000002,71.0,1.0,370000000.0,1678000.0,2020,5
3.0,2.0,1.0,421000.0,0.0,1994.0,1.0,4.0,4.7285221,-74.04395850000003,66.0,5.0,265000000.0,1354000.0,2020,5
2.0,2.0,1.0,550000.0,0.0,2013.0,2.0,6.0,4.682643952690189,-74.04987653275077,90.3,6.0,580000000.0,2986000.0,2020,5
2.0,2.0,1.0,772000.0,0.0,2017.0,1.0,5.0,10.982594,-74.805565,116.0,,540000000.0,,2020,5
1.0,1.0,1.0,347000.0,0.0,2018.0,1.0,3.0,4.6212667000000005,-74.06719670000003,68.0,19.0,545000000.0,1518000.0,2020,5
3.0,3.0,1.0,,0.0,1984.0,1.0,4.0,4.710989,-74.072092,78.0,2.0,608000000.0,1591000.0,2020,5
3.0,3.0,1.0,300000.0,0.0,2016.0,2.0,5.0,4.7359384,-74.06412190000003,151.8,12.0,760000000.0,4350000.0,2020,5
2.0,2.0,1.0,,0.0,2012.0,1.0,3.0,10.982594,-74.805565,60.0,,185000000.0,,2020,5
3.0,3.0,1.0,535000.0,0.0,2009.0,2.0,6.0,10.982594,-74.805565,160.0,3.0,420000000.0,,2020,5
3.0,3.0,1.0,,0.0,2018.0,2.0,6.0,10.982594,-74.805565,132.0,,535000000.0,,2020,5
1.0,1.0,1.0,298000.0,0.0,2010.0,1.0,4.0,4.6173267,-74.07102650000002,61.0,8.0,500000000.0,1751000.0,2020,5
3.0,2.0,1.0,245000.0,0.0,1995.0,1.0,4.0,4.642279947390443,-74.08781909999998,90.0,6.0,590000000.0,1681000.0,2020,5
2.0,1.0,1.0,177000.0,0.0,2011.0,1.0,3.0,4.7683066,-74.03044699999998,46.7,4.0,190000000.0,347000.0,2020,5
3.0,2.0,1.0,350000.0,0.0,2014.0,2.0,4.0,4.710989,-74.072092,88.0,13.0,550000000.0,,2020,5
3.0,1.0,1.0,54500.0,0.0,2007.0,0.0,2.0,4.6373682,-74.18532270000003,46.0,1.0,123000000.0,65000.0,2020,5
3.0,3.0,1.0,250000.0,0.0,2000.0,1.0,5.0,10.982594,-74.805565,150.0,,400000000.0,,2020,5
2.0,2.0,3.0,509000.0,0.0,2017.0,1.0,6.0,10.982594,-74.805565,95.0,3.0,479000000.0,,2020,5
3.0,4.0,1.0,1031198.0,0.0,2013.0,2.0,6.0,4.663941282383258,-74.04666796008706,157.82,5.0,1150000000.0,8146000.0,2020,5
4.0,3.0,1.0,120000.0,0.0,1976.0,1.0,5.0,10.991499946238847,-74.81805336517334,191.0,5.0,395000000.0,3100000.0,2020,5
3.0,2.0,1.0,428000.0,0.0,1985.0,1.0,4.0,4.7227307000000005,-74.0390438,53.0,4.0,275000000.0,,2020,5
3.0,1.0,1.0,50000.0,0.0,2007.0,0.0,2.0,4.559204900000001,-74.11793279999998,57.0,3.0,120000000.0,68000.0,2020,5
3.0,1.0,1.0,160000.0,0.0,2001.0,1.0,4.0,4.740351599999999,-74.06257949999997,52.0,5.0,195000000.0,917000.0,2020,5
2.0,2.0,1.0,321000.0,0.0,1990.0,1.0,5.0,4.7155765,-74.04880220000003,90.0,2.0,385000000.0,2394000.0,2020,5
2.0,2.0,1.0,1057000.0,0.0,1980.0,2.0,6.0,4.7112299,-74.02774899999997,193.0,4.0,965000000.0,6422000.0,2020,5
