Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
843000.0,362.0,6.0,Los Balsos,Medellín,6.0,2022-09-17,5.0,6.21359920501709,-75.558837890625,3.0,1300000000.0,Images/fincaraiz_5516506.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-balsos/medellin/5516506
470000.0,126.0,2.0,poblado,Medellín,6.0,2022-09-17,3.0,6.206466197967529,-75.56683349609375,2.0,650000000.0,Images/fincaraiz_5522744.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/poblado/medellin/5522744
332000.0,112.0,3.0,Los bernal,Medellín,5.0,2022-09-17,3.0,6.217812061309815,-75.60408020019531,2.0,510000000.0,Images/fincaraiz_5528872.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-bernal/medellin/5528872
200000.0,66.0,2.0,La Católica,Rionegro,4.0,2022-09-17,2.0,6.136906623840332,-75.38998413085938,1.0,285000000.0,Images/fincaraiz_5570921.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-catolica/rionegro/5570921
,102.5,2.0,sabaneta,Sabaneta,4.0,2022-11-12,3.0,6.143616676330566,-75.61687469482422,0.0,535000000.0,Images/fincaraiz_5572250.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/sabaneta/sabaneta/5572250
,77.0,2.0,Las Palmas,Medellín,6.0,2022-09-17,3.0,6.182159423828125,-75.56098937988281,1.0,510000000.0,Images/fincaraiz_5578966.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/las-palmas/medellin/5578966
1050000.0,425.0,6.0,Los Balsos,Medellín,6.0,2022-09-17,5.0,6.188355922698975,-75.56477355957031,3.0,1950000000.0,Images/fincaraiz_5629115.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/los-balsos/medellin/5629115
358000.0,85.0,3.0,El Poblado,Medellín,5.0,2022-09-17,3.0,6.201000213623047,-75.56300354003906,1.0,368000000.0,Images/fincaraiz_5629720.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5629720
670000.0,177.0,4.0,El Poblado,Medellín,6.0,2022-09-17,3.0,6.202073097229004,-75.59092712402344,2.0,970000000.0,Images/fincaraiz_5632968.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5632968
,77.0,2.0,SURAMERICA,Itaguí,4.0,2022-09-17,2.0,4.70421028137207,-74.05384063720703,0.0,380000000.0,Images/fincaraiz_5634460.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/itagui/5634460
