Administracion,Area,Banos,Barrio,Ciudad,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
95000.0,54.0,2.0,La Doctora,Sabaneta,2022-08-28,2.0,6.144098,-75.607955,1.0,300000000.0,Images/218336.jpeg,https://www.redinmobiliariamls.com/sabaneta/la-doctora/1/218336
280000.0,92.3,2.0,V. Las Lomitas,Sabaneta,2022-08-28,3.0,6.150558,-75.616819,2.0,490000000.0,Images/218576.jpeg,https://www.redinmobiliariamls.com/sabaneta/v-las-lomitas/1/218576
50000.0,81.0,2.0,El Portal,Envigado,2022-08-28,3.0,6.256602,-75.575637,1.0,350000000.0,Images/218723.jpeg,https://www.redinmobiliariamls.com/envigado/el-portal/1/218723
170000.0,65.0,2.0,Santa Ana,Bello,2022-08-28,3.0,6.325898,-75.564262,1.0,295000000.0,Images/218982.jpeg,https://www.redinmobiliariamls.com/bello/santa-ana/1/218982
,243.0,4.0,El Campestre,Medellín,2022-08-28,4.0,6.184431,-75.567134,3.0,890000000.0,Images/219288.jpeg,https://www.redinmobiliariamls.com/medellin/el-campestre/1/219288
900000.0,327.5,1.0,La Florida,Medellín,2022-08-28,4.0,6.205227,-75.569631,2.0,1200000000.0,Images/219379.jpeg,https://www.redinmobiliariamls.com/medellin/la-florida/1/219379
332000.0,77.8,2.0,Las Antillas,Envigado,2022-08-28,3.0,6.155532,-75.585065,,368000000.0,Images/219432.jpeg,https://www.redinmobiliariamls.com/envigado/las-antillas/1/219432
1106092.0,300.7,3.0,Los Balsos Nº 1,Medellín,2022-08-28,3.0,6.191126,-75.559534,3.0,1250000000.0,Images/219734.jpeg,https://www.redinmobiliariamls.com/medellin/los-balsos-n-1/1/219734
664000.0,199.0,3.0,El Poblado,Medellín,2022-08-28,3.0,6.188535,-75.566114,2.0,1195000000.0,Images/219761.jpeg,https://www.redinmobiliariamls.com/medellin/el-poblado/1/219761
350000.0,115.5,3.0,Loma de los Mesa,Envigado,2022-08-28,3.0,6.169568,-75.568556,2.0,640000000.0,Images/219882.jpeg,https://www.redinmobiliariamls.com/envigado/loma-de-los-mesa/1/219882
187872.0,78.28,2.0,Machado,Copacabana,2022-08-28,3.0,6.256602,-75.575637,1.0,257100000.0,Images/219888.jpeg,https://www.redinmobiliariamls.com/copacabana/machado/1/219888
,83.0,2.0,V. Guayabal,Coveñas,2022-08-28,3.0,9.402367,-75.680419,1.0,250000000.0,Images/219911.jpeg,https://www.redinmobiliariamls.com/covenas/v-guayabal/1/219911
